"trait","individuo","blup","blup_sd","blup_025","blup_975"
"comp_mm","10",1.06740878333757,4.70749218145569,-8.70723636188317,10.2513121323369
"comp_mm","100",1.64447247363706,4.69434028253899,-7.01972855927681,11.3515226519481
"comp_mm","101",-0.322829499786273,4.82753414901989,-9.81258207319955,9.15309845583088
"comp_mm","103",-0.327937491924285,4.71091029979762,-10.0766513212922,8.61762444533266
"comp_mm","11",1.62908594583551,4.88576278282877,-7.58139959027219,11.7560714536775
"comp_mm","110",-0.404916319646114,4.59409728964479,-9.92626603737063,8.55886678494716
"comp_mm","115",-0.403384337893692,4.76879171079694,-10.1565044415581,8.99115265788217
"comp_mm","118",-0.350712263096572,4.79037738833295,-10.1481993017698,8.99233171442173
"comp_mm","12",1.82768890636745,4.77095573753874,-7.47085162447303,11.9759463647414
"comp_mm","122",1.7200782521566,4.74498049812041,-7.52041700889228,10.8928487340571
"comp_mm","124",1.68433154773902,4.80801800716549,-8.45218685189156,11.8347892305578
"comp_mm","128",1.58174339152059,4.75630881863026,-7.55284512071065,11.3151139825321
"comp_mm","13",2.74034675671855,4.5593902579689,-6.00027401507541,12.791213615828
"comp_mm","130",1.63742939226011,4.64821325852857,-7.23226345056768,11.1050978027871
"comp_mm","131",1.55742608925964,4.61571593401006,-7.42537836693542,11.4922630643142
"comp_mm","132",1.65485803708137,4.75674784481736,-7.27012212021406,11.5288527802679
"comp_mm","133",1.80813543270086,4.77105996702701,-7.63806406142823,11.5383603213664
"comp_mm","134",1.78221351129634,4.82503885799281,-7.1918633709892,12.0240745324829
"comp_mm","135",1.71202893280938,4.74438384933841,-7.31011370948513,11.3968726436854
"comp_mm","136",1.67857322536266,4.80094998395006,-7.84850988303206,10.8212226265675
"comp_mm","138",1.58190875741897,4.84949076269259,-8.12113427079395,11.4986798453828
"comp_mm","140",1.62072114819073,4.77083254131236,-7.53402257265529,11.6386816423705
"comp_mm","148",-0.189221346877553,4.95470990572502,-10.4176072451065,9.70123440229408
"comp_mm","149",-0.328173032740276,4.67743491065046,-9.32867959820151,8.9383081678632
"comp_mm","15",1.78054700785253,4.81997010771551,-7.05598720760115,11.5536954937921
"comp_mm","150",-0.375328656021037,4.75033635157402,-10.1559401850084,8.22619390548333
"comp_mm","152",-0.846885632256448,4.32161858272675,-10.0976657957483,7.14811799026351
"comp_mm","154",-0.164161919954445,4.84806031180474,-9.3602526420974,9.6619412536419
"comp_mm","157",-0.214536392921312,4.58219336265641,-9.66116883392459,8.86492821343326
"comp_mm","16",1.64324889612236,4.82741865600041,-7.60201065129465,11.0961223283858
"comp_mm","161",-1.46687405255143,4.79972214925019,-11.6833706982603,7.75094748893201
"comp_mm","162",-1.57229028998744,4.85187541449034,-11.9642322845975,7.62074570880457
"comp_mm","166",-1.59288009142335,5.02537997345962,-12.5257962825641,7.8396336869437
"comp_mm","167",-1.53798687377655,4.86845079005408,-11.9560333431004,7.70511751221841
"comp_mm","17",1.80516992968806,4.87963552874996,-7.49482603208727,12.1382465814839
"comp_mm","170",-1.34122137282303,4.80645265804997,-11.2761131586007,7.77625824951662
"comp_mm","172",-1.41340021787737,5.14248350488172,-11.6881857781431,8.41109507173307
"comp_mm","175",-1.58911776106559,4.87149035507398,-11.9930699439599,7.58433010651164
"comp_mm","177",-1.66875130978904,5.05417908021092,-12.240281159347,7.40551582213047
"comp_mm","178",-1.51238578946047,4.82904061061084,-11.3194214273854,7.52471318013186
"comp_mm","18",2.83038759862464,4.55021121322608,-5.63947602362832,12.2220022345813
"comp_mm","181",-0.252334102069136,4.81169887243928,-10.0634178738694,8.91616370753896
"comp_mm","185",-0.387845232442755,4.7862189727504,-9.81538043584074,8.94526534226415
"comp_mm","189",-0.377797936470364,4.69121747173256,-9.90260632833028,8.83314930214412
"comp_mm","192",-0.268184491237739,4.7600127691819,-9.67461938204568,9.03375747384399
"comp_mm","194",-0.219691453172283,4.72024241835918,-10.1031935997295,9.11758541828864
"comp_mm","2",2.13269871917,4.51273164971736,-6.41453759463835,11.7525238254018
"comp_mm","201",-1.25737917320842,4.91549377219259,-11.4885413703611,8.01714979564876
"comp_mm","204",-1.67619542658653,4.82526962057201,-11.6757103923415,7.01249391310264
"comp_mm","208",-1.95806538167138,4.56864922307869,-12.0961951733015,6.43223477065892
"comp_mm","209",-1.70694278239593,4.97163476413489,-12.1428722355998,7.66488326917122
"comp_mm","210",-4.06081340686077,4.81084047672753,-14.4651732249278,3.97980416507138
"comp_mm","212",-1.40992205059636,4.899076856102,-11.8614148675828,7.7135522154137
"comp_mm","22",-1.41817402237561,4.85448681140767,-11.9437016310933,7.54715219275925
"comp_mm","221",1.53443275730579,4.67468641472725,-7.83119698821011,10.5784980962288
"comp_mm","222",1.96490579952656,4.72400120142573,-6.73736212283686,11.9082613647564
"comp_mm","223",0.762520167882532,4.40919335669106,-8.27648678395001,9.36641100360803
"comp_mm","23",-1.47309798199686,4.76220619991503,-11.0546083803597,7.36031875744034
"comp_mm","232",1.74644530915022,4.75303057498752,-7.64594550622958,11.8170057919349
"comp_mm","233",1.93566389276705,4.68948081104206,-6.96881489012408,11.9490975632508
"comp_mm","235",1.75182613504072,4.76785368570255,-7.30687772066749,11.9509750872878
"comp_mm","236",1.76277313364734,4.78043404611368,-7.18786998722514,12.3191994320693
"comp_mm","237",1.65058049872069,4.78964717525899,-7.68688809743467,11.3718499389039
"comp_mm","24",-1.57746795544597,4.90199886426477,-11.6838332898725,7.44557986976077
"comp_mm","240",1.88968035311817,4.61039481811125,-7.07615680654963,11.4971703880911
"comp_mm","29",-1.58323645791426,4.75732489579727,-11.7964465040039,7.02928174725046
"comp_mm","3",1.84078710324445,4.40474552600091,-6.43914329083933,11.3587481327017
"comp_mm","32",-1.41533689913374,4.83377080771881,-11.3538516355406,7.35826283700517
"comp_mm","34",-1.49092293920787,4.92746068843843,-11.939775837925,7.3732628064778
"comp_mm","4",2.33063764283151,4.40671331030439,-5.71638846114415,11.4997141983043
"comp_mm","43",-0.377392917518766,4.56309871761547,-8.92677055803656,8.77735385354453
"comp_mm","51",-0.477407918896712,4.88633579019,-10.3271943602656,9.24038061997923
"comp_mm","53",-0.336225159723586,4.73030430922079,-9.50467512243899,9.43493986576928
"comp_mm","55",-0.281366534276833,4.74683683180971,-9.79061124477159,8.72020146432114
"comp_mm","61",-1.54705894490368,4.93194105887536,-11.5204169868116,8.2357009926262
"comp_mm","62",-1.56943393253865,4.74979017866699,-11.7317353398699,7.29537944859964
"comp_mm","70",-1.6079060336163,4.91258362511561,-12.0568872917308,7.51802095455709
"comp_mm","76",-1.50842217736121,4.73551189025579,-11.8676030705619,7.20027022162606
"comp_mm","81",1.59480732924691,4.82618297550387,-7.91327096828596,11.5173086594656
"comp_mm","82",1.57693603168487,4.75266713222675,-7.80092921946864,11.2812770891039
"comp_mm","83",1.75610279811055,4.56831210884272,-6.73364168830594,11.5367472073528
"comp_mm","84",1.73120319478438,4.74499538811346,-7.41636667101495,11.1364787220856
"comp_mm","86",1.66428975271947,4.72342421377581,-7.58753150966793,10.7684777661653
"comp_mm","87",2.69107471308007,4.65699821365395,-5.6475890282612,12.9239235910274
"comp_mm","88",2.84005650290307,4.57722863048247,-6.09172683822543,12.4430007001767
"comp_mm","89",1.78094672302008,4.72420511582652,-7.66871830739946,11.4105834816687
"comp_mm","9",1.73056521885621,4.74355576219665,-7.61927734719231,11.3251213415109
"comp_mm","90",1.64557022529134,4.85375049923484,-7.79999704030476,11.8131830457524
"comp_mm","91",1.63526618481894,4.67190429094309,-7.30253088588129,11.560322672156
"comp_mm","94",1.78459245275336,4.78656885202595,-7.44704386023554,11.8009345217183
"comp_mm","95",1.44569488033642,4.28780592124281,-6.95817688532688,9.95961264995282
"comp_mm","96",1.9714179034464,4.73874038913428,-6.90977172706434,11.7639485100794
"comp_mm","97",1.59470497196159,4.87379794510385,-7.4250196688981,11.9018317108508
"comp_mm","98",1.5795972184753,4.73496316439778,-7.96106213048941,11.1448863945794
"comp_mm","99",1.71103829299562,4.7874027325618,-8.056320411974,11.4233352408666
"comp_mm","10",-1.47558072407131,4.24532524759268,-10.0631666589536,7.08310990406268
"comp_mm","100",-1.89166128477367,4.23575936007088,-10.366451381927,6.4252204826545
"comp_mm","101",-0.0718034792529449,4.11014449778434,-8.41081363060854,7.45781256147783
"comp_mm","103",0.180594029209229,4.30053009338446,-8.71798675143763,8.4306335472344
"comp_mm","11",-1.33309831320879,4.22165333924836,-10.0687012986704,6.80872692910919
"comp_mm","110",0.055233873726763,4.20914219681247,-8.04023792029602,8.43533301049329
"comp_mm","115",0.0281719055987993,4.02559582255892,-7.67269336728001,8.36587890342764
"comp_mm","118",0.0936446033259895,4.06447812436327,-7.73893569733417,8.74471776409951
"comp_mm","12",-1.38237825302481,4.17022988635491,-10.0662584177135,7.04580288746597
"comp_mm","122",-1.27057267254843,4.29019268955784,-10.0784208955854,7.24014956749657
"comp_mm","124",-1.46378058087998,4.08869272060902,-9.87623214577259,6.64229426767672
"comp_mm","128",-2.83160915095069,4.13090177897417,-11.5665800452647,4.86412911981256
"comp_mm","13",-0.505155364843671,3.96703004165347,-8.55253502655871,7.35104591452642
"comp_mm","130",-1.26036664452894,3.86797741304912,-8.69319060663594,6.64116674966603
"comp_mm","131",-0.715649513564785,4.01176497230073,-8.54914472657984,7.18720248090634
"comp_mm","132",-1.46496534624061,4.12806226064008,-9.89547950281332,6.5152220214648
"comp_mm","133",-1.51102465891959,4.1885292356597,-9.89634251020088,7.01951639794771
"comp_mm","134",-1.36988607900221,4.18058265786535,-9.7775849588994,6.70868074891025
"comp_mm","135",-1.34980215037826,4.10274410264218,-9.80767463168418,6.80451751399707
"comp_mm","136",-2.21283617311679,4.13898849589043,-11.0867870396694,5.53064447460811
"comp_mm","138",-1.45811230155956,4.22321551465179,-9.80864084552098,6.80945003754358
"comp_mm","140",-1.23159797504599,4.22040795571502,-9.78026530583852,6.99211203413628
"comp_mm","148",-0.0312227130514468,4.23086364787945,-8.61382350286454,8.61452876117486
"comp_mm","149",-0.130683487666282,3.688365355527,-7.34216473385522,7.18001493300454
"comp_mm","15",-1.424538407251,4.16103157236256,-9.98016176180997,6.45403452877329
"comp_mm","150",-0.0169287111218453,4.12698193064255,-8.04528781775061,8.18378625537415
"comp_mm","152",0.00270421965677075,4.14580130089397,-8.53131216973105,8.1120052152001
"comp_mm","154",0.171041984818285,4.07264017009844,-7.53508652847891,8.45136155541535
"comp_mm","157",0.155484675481886,4.12137940157081,-7.97508712144383,8.51444086267571
"comp_mm","16",-1.43898371361228,3.93541202044043,-9.22725829844891,6.02063064543265
"comp_mm","161",1.54381094520724,4.14080404319808,-6.53940775704019,9.98545910702105
"comp_mm","162",1.2418088964973,3.81163181307607,-6.33578482675557,9.18487561371298
"comp_mm","166",1.46834507279406,4.30435828192163,-7.02188291158223,10.1440778820368
"comp_mm","167",1.69196656078191,3.92240120943606,-5.59689944056721,10.2027693461286
"comp_mm","17",-1.33478272390012,4.30844309996973,-10.20274020527,7.39563028822101
