"termo","blup","blup_sd","blup_025","blup_975","trait","individuo"
"traitcomp_mm.animal.10",-1.15268048918738,5.12709385489479,-12.0786951000041,8.50695247316195,"comp_mm","10"
"traitcomp_mm.animal.100",-1.17410504643236,5.12077687058749,-12.1638009062926,7.98905621169707,"comp_mm","100"
"traitcomp_mm.animal.101",0.338686464731648,5.05281430773041,-9.43870932654,10.7051840580072,"comp_mm","101"
"traitcomp_mm.animal.103",-8.09939578062011,7.84686855548337,-27.2328049353392,3.06899429310661,"comp_mm","103"
"traitcomp_mm.animal.11",-1.29001522108416,5.36973328412159,-13.5320377273277,8.14898395248144,"comp_mm","11"
"traitcomp_mm.animal.110",-2.56719610969753,4.926068024817,-12.7268462624866,6.67916655186747,"comp_mm","110"
"traitcomp_mm.animal.115",1.22855560103089,5.19502091270431,-8.06781069532984,12.7987400088343,"comp_mm","115"
"traitcomp_mm.animal.118",1.7985141528418,4.95550822379883,-7.38067091578371,13.0462864991184,"comp_mm","118"
"traitcomp_mm.animal.12",-1.4915857410718,5.18614243916143,-13.1762565036192,7.6581409654865,"comp_mm","12"
"traitcomp_mm.animal.122",-2.0361742496767,5.1803980275479,-12.9705706598684,7.84432251671815,"comp_mm","122"
"traitcomp_mm.animal.124",-2.04753007008383,5.04932241331747,-12.7275548825178,6.85509612393906,"comp_mm","124"
"traitcomp_mm.animal.128",0.476997156040867,5.12593920008435,-11.3192996052479,9.58257594763001,"comp_mm","128"
"traitcomp_mm.animal.13",2.7392059600247,6.0774494262552,-7.04779087101554,17.5065532644166,"comp_mm","13"
"traitcomp_mm.animal.130",1.28477731552742,4.93117435972693,-8.51927528856626,11.8827769435109,"comp_mm","130"
"traitcomp_mm.animal.131",0.629050252907641,4.81910864790965,-8.62419639735754,11.2423868755354,"comp_mm","131"
"traitcomp_mm.animal.132",-1.80591871296914,4.78213536207608,-11.5907173181953,7.12179311540578,"comp_mm","132"
"traitcomp_mm.animal.133",-0.934652092497345,4.96767579955985,-11.6743149686137,8.30650036823699,"comp_mm","133"
"traitcomp_mm.animal.134",-2.00903806759456,4.99617567214384,-12.6579484786054,7.36772738699051,"comp_mm","134"
"traitcomp_mm.animal.135",-1.12818445941571,5.00099861216123,-11.6615035256147,8.75234245088299,"comp_mm","135"
"traitcomp_mm.animal.136",-0.382614931453693,4.94794154844081,-10.3435598663848,9.1570595376582,"comp_mm","136"
"traitcomp_mm.animal.138",-1.98705192847998,5.359350395039,-14.2248373711058,7.0321635814651,"comp_mm","138"
"traitcomp_mm.animal.140",0.474337130071308,4.85643779115962,-8.69040261103824,10.4458187269859,"comp_mm","140"
"traitcomp_mm.animal.148",0.61654519073917,4.87927786008026,-8.69459824881256,10.9548335804663,"comp_mm","148"
"traitcomp_mm.animal.149",-0.334627782630501,4.91886301417831,-9.30056935422463,10.1052648871314,"comp_mm","149"
"traitcomp_mm.animal.15",-2.59156296884719,5.48561729415095,-15.0490804448847,7.06732683226791,"comp_mm","15"
"traitcomp_mm.animal.150",-0.298846246656201,5.10265558999164,-10.0348008323828,11.0906827382454,"comp_mm","150"
"traitcomp_mm.animal.152",-2.55611050782462,5.3514145971088,-14.2903355234061,7.2158584690662,"comp_mm","152"
"traitcomp_mm.animal.154",0.105107706521633,5.34904774704651,-9.70783692293287,12.1070078063796,"comp_mm","154"
"traitcomp_mm.animal.157",-1.70277978180476,5.03417719640521,-12.0840826086612,7.7193371253283,"comp_mm","157"
"traitcomp_mm.animal.16",-0.811713396593498,5.13130939306885,-12.5539051949821,8.13263872102296,"comp_mm","16"
"traitcomp_mm.animal.161",2.03549736145655,4.98887756530976,-7.05836373651775,12.9366321540105,"comp_mm","161"
"traitcomp_mm.animal.162",-1.68651403223583,5.17936643676965,-13.4176703036154,7.51705131233969,"comp_mm","162"
"traitcomp_mm.animal.166",3.82540658835157,5.5334959207208,-5.28880201666011,16.2300639637791,"comp_mm","166"
"traitcomp_mm.animal.167",4.59890894182932,6.01986705132022,-4.88641579398587,18.7216418432033,"comp_mm","167"
"traitcomp_mm.animal.17",0.752614844449737,4.86528927033824,-8.93289398071602,10.5928226753843,"comp_mm","17"
"traitcomp_mm.animal.170",4.5332737270304,6.43965778330395,-5.59438007370851,20.3081934299418,"comp_mm","170"
"traitcomp_mm.animal.172",0.275184422604608,4.94890084750661,-10.1448903446058,10.0830726738365,"comp_mm","172"
