"trait","individuo","blup","blup_sd","blup_025","blup_975"
"comp_mm","10",1.38072592564784,4.83122977778734,-8.43836712913394,11.0096217018254
"comp_mm","100",1.90290348256416,4.83255852226816,-7.14155659543072,12.0066804463619
"comp_mm","101",-0.462423039691563,4.96643600105734,-10.213735104529,9.13179625733985
"comp_mm","103",-0.46869032844918,4.85051556005736,-10.4543740708398,8.7036304492852
"comp_mm","11",1.88872067791308,5.02787051523799,-7.4790093094444,12.3707930865234
"comp_mm","110",-0.545527092766406,4.72727976755824,-10.4921118077579,8.67180850049194
"comp_mm","115",-0.544567081616218,4.90554596245605,-10.3146298021277,8.85954893874859
"comp_mm","118",-0.490066261606206,4.93064114610503,-10.6317624477003,9.19271816968513
"comp_mm","12",2.09006621092547,4.88969221335663,-7.34635689763326,12.4984316238202
"comp_mm","122",1.98067500688221,4.88026492793959,-7.45538530792651,11.5606217333638
"comp_mm","124",1.94276428363269,4.94418332035439,-8.47872238307905,12.208364013772
"comp_mm","128",1.83839133073051,4.89627114467389,-7.49287361980413,11.9857681863778
"comp_mm","13",3.15782916005443,4.71865895497764,-5.58861522945557,13.4567239420158
"comp_mm","130",1.89574573294623,4.77929297073023,-7.10563100414917,11.7253435740384
"comp_mm","131",1.81481606692272,4.74267259467387,-7.34736141287517,11.9835642671699
"comp_mm","132",1.91249715873988,4.90104844225938,-6.95356932602834,12.1515386588731
"comp_mm","133",2.07318354307275,4.91503167087776,-7.52711850925989,12.2537445355821
"comp_mm","134",2.0453244357377,4.96809886535627,-7.29512190436986,12.6768526640047
"comp_mm","135",1.97347860969141,4.88451174205529,-7.41051122083656,12.3093340779445
"comp_mm","136",1.93747015034757,4.93493448167154,-7.93436987301408,11.253543577245
"comp_mm","138",1.83909194825709,4.9819693640749,-7.99604404006487,12.371408061086
"comp_mm","140",1.87933729552262,4.91297143735665,-7.35345621071175,12.317890868916
"comp_mm","148",-0.322523076505706,5.11061264853398,-10.8733246120009,9.72024360692546
"comp_mm","149",-0.466761231862834,4.8100014543547,-9.91847759130893,8.89258737989878
"comp_mm","15",2.04196492949842,4.96526462131265,-6.691048533659,12.489916131397
"comp_mm","150",-0.516490873968851,4.88862131529321,-10.5230845150983,8.41276547794623
"comp_mm","152",-1.2562636108607,4.5047802370535,-10.9142221469335,7.16771138481376
"comp_mm","154",-0.298574155730634,4.97502492188798,-9.68349848802249,9.66773442230981
"comp_mm","157",-0.350271295889568,4.70584575141516,-10.2439943986768,9.03683307337254
"comp_mm","16",1.90281621050037,4.96202163048202,-7.67428465976487,11.6460999545259
"comp_mm","161",-1.59593939602888,4.92792291032564,-12.2026232428522,7.88311878493596
"comp_mm","162",-1.70518209169194,4.98709536249448,-12.6270112686606,7.75157735093112
"comp_mm","166",-1.72740502802334,5.16754233178629,-13.1807433822094,7.87213645074001
"comp_mm","167",-1.66879978088543,5.00569740227421,-12.6066859902442,7.70209086457542
"comp_mm","17",2.06941908047132,5.02019099913277,-7.30054957406585,12.8376973948241
"comp_mm","170",-1.46835214261094,4.93707907319241,-11.6735589587683,7.85127717170194
"comp_mm","172",-1.54398768023417,5.29487308845604,-12.110785324723,8.45131050448417
"comp_mm","175",-1.72453280001348,5.00907433039968,-12.4987462845002,7.56193321897662
"comp_mm","177",-1.80362330361736,5.20157141043009,-12.8077768831614,7.62339375219867
"comp_mm","178",-1.64426568965373,4.96417651306397,-11.9505321768385,7.46440956768738
"comp_mm","18",3.23325415645574,4.69753317245178,-5.40550982754616,13.2183403459115
"comp_mm","181",-0.388602607065517,4.94550185849665,-10.6531734807311,8.95795540267542
"comp_mm","185",-0.529393168982008,4.92980114171968,-10.2254026234469,9.02350805870854
"comp_mm","189",-0.516340457942178,4.82341420487191,-10.4978689594363,8.91875179876464
"comp_mm","192",-0.40529828986696,4.89267020979718,-10.2882955299038,9.00408198720723
"comp_mm","194",-0.355450831569259,4.8560817910563,-10.5798531598445,9.24631845071793
"comp_mm","2",2.50076132047594,4.65311787979156,-6.16587073171489,12.3356686541591
"comp_mm","201",-1.38250327944606,5.04596508314962,-12.0126841669234,7.9587397872883
"comp_mm","204",-1.81014631274942,4.9513530896674,-12.1293257106813,6.97552348126305
