"trait","individuo","blup","blup_sd","blup_025","blup_975"
"massa_polpa_g","10",4.14622831680329,9.95882763623885,-16.1934329920143,24.3086607572719
"massa_polpa_g","100",4.58455846306878,10.473277362715,-14.2134546126188,27.6732992910556
"massa_polpa_g","101",-1.53077528079747,10.5819093027282,-22.9563147909079,18.5900736085174
"massa_polpa_g","103",-1.58279652246989,10.342284862108,-23.4302148228956,17.1023605519781
"massa_polpa_g","11",4.5656581775497,10.8508786801699,-15.2503812379696,28.0087946307481
"massa_polpa_g","110",-1.72253102223501,10.1821496153089,-23.4014814034381,17.2782432430297
"massa_polpa_g","115",-1.70507083506607,10.5451511451128,-23.2825253428508,18.3009594659805
"massa_polpa_g","118",-1.62379780672951,10.5862429166221,-24.0095038055194,19.5361295854209
"massa_polpa_g","12",4.95332850079738,10.6600887031424,-15.2463523789584,28.586159066608
"massa_polpa_g","122",4.77483820051526,10.5299851299133,-15.1235301828744,26.7203281637955
"massa_polpa_g","124",4.61629260567262,10.6230029474588,-16.6197500874415,28.0092703226574
"massa_polpa_g","128",4.45405538521204,10.5081689722341,-15.1692479252728,26.7443367862842
"massa_polpa_g","13",13.2015494206128,11.5495597377149,-4.69241266507183,40.0966310410413
"massa_polpa_g","130",4.55964251991695,10.3200046640414,-13.8621496204463,27.0813165582509
"massa_polpa_g","131",4.38265170115467,10.2234011547078,-14.9487809866807,27.5945593641848
"massa_polpa_g","132",4.60271273900375,10.5431826893382,-15.068333246245,27.2936681204083
"massa_polpa_g","133",4.95178782244883,10.5852890594755,-15.7088192573865,28.1895203126081
"massa_polpa_g","134",4.88304716326102,10.6798120666356,-14.0960577908672,28.3594200682363
"massa_polpa_g","135",4.76838054095006,10.5972770958841,-14.3386290520106,29.3595966417377
"massa_polpa_g","136",4.65563170354351,10.6262943408354,-15.8394681830081,25.3573041727452
"massa_polpa_g","138",4.43260995467817,10.6773231733454,-17.1994973775959,28.3794842886911
"massa_polpa_g","140",4.52464921947876,10.5677343780183,-14.9871517987501,27.7098231571879
"massa_polpa_g","148",-1.18169732839102,10.9645551713326,-24.876118809152,20.6077377737325
"massa_polpa_g","149",-1.5582027561621,10.322657845945,-22.4700789708226,18.5373415043654
"massa_polpa_g","15",4.87924723271679,10.759558920457,-13.7183711662012,27.6497447665373
"massa_polpa_g","150",-1.67203223679227,10.4534677944034,-24.3196340459584,16.9175184363655
"massa_polpa_g","152",-4.32867544842459,9.28396620283635,-24.7017065358109,11.823027070746
"massa_polpa_g","154",-1.17471737598928,10.6011455959083,-21.4769940031364,20.1816257329435
"massa_polpa_g","157",-1.3095261294724,10.0414349435753,-22.4792721731266,18.3780771289571
"massa_polpa_g","16",4.59151736917425,10.700853976726,-15.2663615397897,27.6794201259101
"massa_polpa_g","161",-3.42533128399654,10.6534604921591,-27.1251246482553,16.5569200753172
"massa_polpa_g","162",-3.66891827419017,10.730684976795,-26.2673606674223,16.6864269560515
"massa_polpa_g","166",-3.6957785906885,11.0886307055424,-28.5553655238292,17.0141487478302
"massa_polpa_g","167",-3.52573350143092,10.7290105591478,-26.8734416661335,18.0013679257958
"massa_polpa_g","17",4.9599162277071,10.7946639569433,-15.1755882716298,28.8517714895995
"massa_polpa_g","170",-3.12106936880302,10.5905362259316,-25.8373078145673,17.636046056551
"massa_polpa_g","172",-3.28952371085926,11.3643678574117,-26.3560144138524,18.1848134497385
"massa_polpa_g","175",-3.67419952862661,10.7519501926136,-28.2983904514352,16.2326595994044
"massa_polpa_g","177",-3.84809888317447,11.2547228763894,-28.6833460092546,16.0295505696963
"massa_polpa_g","178",-3.52360098325567,10.6304884997786,-25.6211340837592,16.4986395710488
"massa_polpa_g","18",9.83651302634281,10.570409070193,-7.99818908244247,33.6364805824268
"massa_polpa_g","181",-1.35874859409601,10.5829958211402,-23.8067639033165,18.567802358531
"massa_polpa_g","185",-1.7068410673069,10.5170519189251,-22.7793253000255,18.6186786351047
"massa_polpa_g","189",-1.63991850653564,10.2774474284153,-22.6207613936676,18.2285181792878
"massa_polpa_g","192",-1.43098567204879,10.5552240876535,-23.0934954710978,17.3808042538726
"massa_polpa_g","194",-1.31766885258874,10.319099632007,-24.0530020215548,19.2793044806376
"massa_polpa_g","2",2.47036231845,9.46599375038153,-16.6467934682735,21.6449551351283
"massa_polpa_g","201",-2.95185292858648,10.7990298933686,-24.7933143556011,17.7197551373018
"massa_polpa_g","204",-3.86480046532381,10.6512276284984,-26.0768961856513,14.615612516667
"massa_polpa_g","208",-6.86631094559453,10.1137181733671,-29.4670722444077,10.6116539749472
"massa_polpa_g","209",-3.92536807787839,10.9581283588301,-27.7030187897151,16.9872478834629
"massa_polpa_g","210",-7.08501735523828,9.84999676911577,-28.7786241785367,9.53730287914365
"massa_polpa_g","212",-3.26849638117637,10.7624789407726,-26.6695977163223,16.3432338864848
"massa_polpa_g","22",-3.3046020502473,10.7708771584432,-27.6356217288163,16.969594530736
"massa_polpa_g","221",4.30752878932971,10.316324169087,-15.8986428417812,25.3191726866554
"massa_polpa_g","222",5.29238215963152,10.5309976306913,-13.3375780569278,28.9828910119778
"massa_polpa_g","223",1.87036092006986,9.39250381690441,-17.2824849771657,20.0812929806633
"massa_polpa_g","23",-3.40424129874203,10.4670313718164,-23.9370429841842,15.6565342367744
"massa_polpa_g","232",4.81627496176335,10.5571889029413,-15.1962752372927,27.6357661561225
"massa_polpa_g","233",5.22769354358257,10.4704457003959,-14.2418672668054,29.3351361835904
"massa_polpa_g","235",4.84039294815709,10.5246967998054,-14.3429056565833,29.1248826123782
"massa_polpa_g","236",4.85826562927299,10.5544145604033,-13.4465871571401,28.4158734672153
"massa_polpa_g","237",4.61921813340344,10.7028590060446,-15.7681327514605,27.699477465865
"massa_polpa_g","24",-3.60408096900747,10.7734505523566,-26.0312795856277,16.1993514710233
"massa_polpa_g","240",5.10565922756673,10.2077611700808,-13.8142194768458,26.5146204303358
"massa_polpa_g","29",-3.6717801772331,10.4232343348251,-25.9438717407874,14.9860139751107
"massa_polpa_g","3",1.12194558840509,9.34298712958227,-18.1199604687901,20.5861720672305
"massa_polpa_g","32",-3.29755980056267,10.7138162459763,-25.701651753142,16.1728944294886
"massa_polpa_g","34",-3.46297819329929,10.9329054099575,-27.8023733353334,15.8702410412746
"massa_polpa_g","4",4.70297896623384,9.41007049553628,-12.7565770370328,24.8504098356649
"massa_polpa_g","43",-1.6512881345295,10.0447626175734,-20.8447864567746,17.9666163828802
"massa_polpa_g","51",-1.92078300787302,10.8579390001204,-24.1449792864863,18.8265514842322
"massa_polpa_g","53",-1.58538379049297,10.4121365197319,-22.6583846308344,19.4964113180128
"massa_polpa_g","55",-1.43647341933855,10.4044841512427,-22.5395256893038,18.7271519979931
"massa_polpa_g","61",-3.57865636517482,10.9471399375912,-26.0294246816512,17.9494834301479
"massa_polpa_g","62",-3.65892976711478,10.5575110914963,-26.7798395498848,16.1996928278894
"massa_polpa_g","70",-3.70364414416921,10.8654077986779,-27.1967616935092,16.6372274352026
"massa_polpa_g","76",-3.52663872909613,10.4671217311189,-27.2356991537423,15.40074304189
"massa_polpa_g","81",4.47861937180756,10.6908755952306,-15.8277093677811,28.0412442112885
"massa_polpa_g","82",4.43193235266301,10.5292166801426,-15.4620386621403,26.5918800744187
"massa_polpa_g","83",4.82412018651369,10.1405319569424,-13.9549709395702,27.0605946080136
"massa_polpa_g","84",4.76883090384094,10.6089279719105,-15.1578710710339,26.4994065032928
"massa_polpa_g","86",4.64901574397502,10.4864749232189,-14.8763348764196,26.8960998154444
"massa_polpa_g","87",4.10711913570062,9.60585102865178,-13.532490789125,25.3322542423799
"massa_polpa_g","88",8.44122161880957,10.2936254707685,-9.97182422787102,31.8792203334701
"massa_polpa_g","89",4.89002114320309,10.3951239140082,-14.8509447084571,26.6818211436138
"massa_polpa_g","9",4.74630105690373,10.4202164634988,-15.0005029051371,26.3422424094854
"massa_polpa_g","90",4.56296532154203,10.7628168409626,-15.9219670443842,27.7042832680289
"massa_polpa_g","91",4.57473941653147,10.3239205038721,-14.5092317751554,27.8795370792435
"massa_polpa_g","94",4.88478825641567,10.6736944972536,-14.9246945436106,27.7917455351772
"massa_polpa_g","95",7.2570561317063,9.38123271015484,-9.56686783704213,26.677583196626
"massa_polpa_g","96",5.28491238187995,10.4732835645403,-13.8207933788692,28.1762482781141
"massa_polpa_g","97",4.50915166003529,10.7878304047742,-15.1607206555728,27.3804521347016
"massa_polpa_g","98",4.44271526668296,10.491927243654,-15.8881410895714,26.9618194164001
"massa_polpa_g","99",4.70089095073522,10.5530630916515,-16.2527891113324,28.0191043192767
"massa_polpa_g","10",-4.12411162789201,8.06801841563371,-20.2704285844196,11.4688540474189
"massa_polpa_g","100",-6.9584897522386,8.18494486616208,-24.2669861280608,7.7978671176186
"massa_polpa_g","101",2.0189857346691,7.8312602389215,-13.890006215777,17.4964643825119
"massa_polpa_g","103",2.4849734247112,8.26076314467075,-14.2866755935965,18.7097004570822
"massa_polpa_g","11",-3.81283259278796,8.00027160492002,-20.8580152096174,11.8709050044371
"massa_polpa_g","110",2.23679154697331,7.98634800966896,-12.6821633211255,19.4875622072622
"massa_polpa_g","115",2.20227841117566,7.69380113291553,-12.2918221758697,18.4779900135108
"massa_polpa_g","118",2.33213800556149,7.80679405371286,-12.45932881836,19.2007803067845
"massa_polpa_g","12",-3.95062804186724,7.89257392621781,-20.7574529512164,11.399377648016
"massa_polpa_g","122",-3.72328767530277,8.13091523007653,-20.3149616243117,12.1386320394284
"massa_polpa_g","124",-4.08260250820747,7.76299262504186,-20.2727512681167,10.9151585836057
"massa_polpa_g","128",-7.37480631079085,7.86605113559588,-25.1233047630018,6.53294447849109
"massa_polpa_g","13",1.65209532243897,7.85955102687382,-13.0840242510515,18.7488464344972
"massa_polpa_g","130",-6.97781097103093,7.52198500015739,-23.0317448626442,6.85626853600977
"massa_polpa_g","131",-3.3194060992165,7.44087887206399,-18.5876682869458,11.1289714640107
"massa_polpa_g","132",-4.08956312036146,7.86940195707155,-20.8107974233134,11.0586164801833
"massa_polpa_g","133",-4.14882837988598,7.95612597371561,-20.5752275851078,12.3350929500575
"massa_polpa_g","134",-3.88522790295727,7.90814107287875,-19.4219665836067,11.0649186553067
"massa_polpa_g","135",-3.877406838087,7.82870186183517,-20.5225991715777,11.4734368070839
"massa_polpa_g","136",-5.9001433284392,7.74815988041869,-22.3064380098493,8.2089505722482
