"individuo","bloco","familia","cruzamento","P1","P2","data","estacao","ano","estacao_ano","n_frutos","formato_elipsoide","casca_amarela","polpa_amarela","comp_mm","diam_mm","ind_formato","massa_fruto_g","massa_polpa_g","rend_polpa_pct","esp_casca_mm","esp_casca_inv","sst_brix","aacpd_planta","aacpd_folha","parcela","aacpdm","linha","coluna"
"18","1","1","293 x 355","293","355",2018-08-03,"inverno","2018","inverno_2018",1,0,0,0,77.3,61.2,1.26307189542484,123.448,59.5,48.1984317283391,7.85,10.6766666666667,16.8,194,179,"F1B1",186.5,"1","26"
"18","1","1","293 x 355","293","355",2019-02-28,"verao","2019","verao_2019",9,0,0,0,67.6011111111111,58.1166666666667,1.16383124445711,75.5177777777778,29.86,39.29632904968,8.64444444444444,9.88222222222222,17.6,546.5,531.5,"F1B1",539,"1","26"
"22","1","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",1,1,1,1,100.31,73.86,1.35810993772001,170.61,48.12,28.2046773342711,9.15,9.37666666666667,13,876.5,876.5,"F2B1",876.5,"1","30"
"22","1","2","501 x 355","501","355",2019-06-21,"inverno","2019","inverno_2019",3,1,1,1,85.16,66.7233333333333,1.27701355353318,104.813333333333,19.77,18.9764054407701,10.83,7.69666666666667,10,876.5,876.5,"F2B1",876.5,"1","30"
"23","1","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",3,1,0,1,67.36,55.74,1.20718990152234,75.1133333333333,33.9633333333333,44.6268452249451,8.37666666666667,10.15,14.5,711.5,696.5,"F2B1",704,"1","31"
"24","1","2","501 x 355","501","355",2018-11-30,"primavera","2018","primavera_2018",2,0,1,1,86.8,75,1.15849527545017,178.055,52.035,29.5740138457965,10.245,8.28166666666667,16.95,321.5,321.5,"F2B1",321.5,"1","32"
"24","1","2","501 x 355","501","355",2019-05-15,"outono","2019","outono_2019",4,0,1,1,64.86,57.03,1.13886143918,70.68,13.89,19.3360141064218,9.39,9.13666666666667,15.275,651.5,651.5,"F2B1",651.5,"1","32"
"24","1","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",7,0,1,1,67.8171428571429,62.4842857142857,1.08670175123979,97.9385714285714,29.9657142857143,29.720331506711,8.55428571428572,9.97238095238095,14.0857142857143,711.5,711.5,"F2B1",711.5,"1","32"
"24","1","2","501 x 355","501","355",2019-06-21,"inverno","2019","inverno_2019",1,0,1,1,70.88,67.5,1.05007407407407,130.57,51.21,39.2203415792295,9.02,9.50666666666667,12.6,711.5,711.5,"F2B1",711.5,"1","32"
"29","1","2","501 x 355","501","355",2019-05-14,"outono","2019","outono_2019",2,0,0,1,67.49,47.365,1.42623698390917,45.82,6.83,14.1644960724176,6.2,12.3266666666667,16.3,681.5,636.5,"F2B1",659,"1","37"
"29","1","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",2,0,0,1,70.903,49.184,1.44620225976076,58.809,12.621,20.0915902303893,7.537,10.9896666666667,13.88,741.5,696.5,"F2B1",719,"1","37"
"32","1","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",7,1,1,1,77.235,60.329,1.28459577007592,76.857,12.973,15.4692824914438,13.669,4.85766666666667,15.03,831.5,816.5,"F2B1",824,"1","40"
"32","1","2","501 x 355","501","355",2019-06-21,"inverno","2019","inverno_2019",4,1,1,1,81.73,65.375,1.25407086772758,90.25,13.0625,14.9634967033042,15.0275,3.49916666666667,14.8,831.5,816.5,"F2B1",824,"1","40"
"34","1","2","501 x 355","501","355",2018-11-30,"primavera","2018","primavera_2018",2,0,0,1,76.65,67.15,1.14410160747597,113.375,44.55,38.6938146732622,6.255,12.2716666666667,15.55,336.5,321.5,"F2B1",329,"1","42"
"34","1","2","501 x 355","501","355",2019-05-14,"outono","2019","outono_2019",2,0,1,1,66.825,58.275,1.1478432805607,71.77,26.05,35.5906903434798,7.14,11.3866666666667,15.8,666.5,651.5,"F2B1",659,"1","42"
"34","1","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",5,0,0,1,69.835,58.39625,1.19952670478442,79.415,29.67,36.2572102439667,6.33875,12.1879166666667,13.725,726.5,711.5,"F2B1",719,"1","42"
"34","1","2","501 x 355","501","355",2019-06-21,"inverno","2019","inverno_2019",2,0,1,1,68.26,59.145,1.15399610125296,81.015,30.045,36.56433595347,6.675,11.8516666666667,11.7,726.5,711.5,"F2B1",719,"1","42"
"43","1","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",2,0,0,1,70.63,67.645,1.04473252822618,84.7975,30.9175,36.2420359178596,5.8025,12.7241666666667,10.7,861.5,816.5,"F3B1",839,"1","51"
"43","1","3","516 x 355","516","355",2019-06-21,"inverno","2019","inverno_2019",2,0,0,1,76.435,56.8,1.35587639311044,76.135,27.12,35.4862636345286,6.28,12.2466666666667,9.9,861.5,816.5,"F3B1",839,"1","51"
"51","1","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",2,0,0,1,57.88,53.565,1.07970206273112,48.435,16.72,34.5983067882796,7.85,10.6766666666667,13,741.5,711.5,"F3B1",726.5,"1","59"
"53","1","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",1,0,1,1,62.98,57.72,1.09112959112959,59.54,14.53,24.4037621766879,9.54,8.98666666666667,15.4,861.5,861.5,"F3B1",861.5,"1","61"
"55","1","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",3,0,1,1,74.5166666666667,66.84,1.13675432050816,111.003333333333,43.2533333333333,38.6671795827187,6.81666666666667,11.71,12.8666666666667,1026.5,996.5,"F3B1",1011.5,"1","63"
"55","1","3","516 x 355","516","355",2019-06-21,"inverno","2019","inverno_2019",1,0,1,1,74.96,75.43,0.993769057404216,141.49,59.05,41.7343981906848,9.24,9.28666666666667,13.3,1026.5,996.5,"F3B1",1011.5,"1","63"
"61","2","2","501 x 355","501","355",2018-11-30,"primavera","2018","primavera_2018",3,0,1,1,66.5,58.4,1.13929477873643,80.2533333333333,38.4533333333333,47.3191896378409,1.92666666666667,16.6,16,NA,NA,"F2B2",NA,NA,NA
"61","2","2","501 x 355","501","355",2018-12-11,"primavera","2018","primavera_2018",1,0,1,1,89.5,65,1.37692307692308,117.7,32.88,27.9354290569244,9.77,8.75666666666667,17.5,NA,NA,"F2B2",NA,NA,NA
"62","2","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",2,0,1,1,75.9522222222222,61.3333333333333,1.24508187584287,92.1177777777778,28.4866666666667,28.3977748707542,9.84333333333333,8.68333333333333,13.5444444444444,756.5,741.5,"F2B2",749,"1","70"
"70","2","2","501 x 355","501","355",2018-11-30,"primavera","2018","primavera_2018",7,1,1,1,74.0583333333333,57.6,1.28450122189083,98.37,42.8733333333333,42.4870082563772,8.20583333333333,10.3208333333333,17.0916666666667,381.5,396.5,"F2B2",389,"2","73"
"70","2","2","501 x 355","501","355",2018-12-10,"primavera","2018","primavera_2018",2,1,1,1,67.85,55.7,1.21659185532137,86.865,38.36,44.0060644660936,8.66,9.86666666666667,16.7,411.5,426.5,"F2B2",419,"2","73"
"70","2","2","501 x 355","501","355",2018-12-11,"primavera","2018","primavera_2018",1,1,1,1,54.6,41.3,1.32203389830508,40.12,10.42,25.9720837487537,8.27,10.2566666666667,14.6,411.5,426.5,"F2B2",419,"2","73"
"76","2","2","501 x 355","501","355",2018-11-30,"primavera","2018","primavera_2018",1,0,1,1,70.1,51.1,1.37181996086106,57.37,20.33,35.4366393585498,5.69,12.8366666666667,12.5,366.5,366.5,"F2B2",366.5,"2","67"
"76","2","2","501 x 355","501","355",2019-01-22,"verao","2019","verao_2019",1,0,1,1,82.4,61.8,1.33333333333333,115.94,41.31,35.6304985337243,7.2,11.3266666666667,11.7,456.5,471.5,"F2B2",464,"2","67"
"76","2","2","501 x 355","501","355",2019-05-14,"outono","2019","outono_2019",5,0,1,1,62.134,47.472,1.31519241196781,45.592,19.55,43.883583365602,7.044,11.4826666666667,13.8,696.5,711.5,"F2B2",704,"2","67"
"76","2","2","501 x 355","501","355",2019-06-10,"outono","2019","outono_2019",8,0,1,1,62.50875,47.3425,1.3235344804636,41.79375,16.605,41.7116617892389,6.58125,11.9454166666667,13.6,756.5,771.5,"F2B2",764,"2","67"
"81","2","1","293 x 355","293","355",2018-10-23,"primavera","2018","primavera_2018",1,0,1,1,94.9,73.8,1.28590785907859,131.4,27.4,20.8523592085236,13.7,4.82666666666667,14.8,246.5,246.5,"F1B2",246.5,NA,NA
