"individuo","mu_max","t_pico","slope_up","slope_down","t_surv_obs","evento","area_beta","estab","taxa_final","prop_acima","n_aval","familia","mu_max_sc","t_pico_sc","slope_up_sc","area_beta_sc","estab_sc","t_surv_sc","prop_acima_sc","BDSIP"
2,2,112,0.00476190476190476,0.00165707308564452,476,0,105.161,0.231932773109244,2,0,35,"1",-0.861930692964181,-0.725901776727376,-0.217696520641054,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.570752754657786
3,2,84,0.00765306122448979,0.000985221674876849,476,0,119.119,0.196638655462185,2,0,35,"1",-0.861930692964181,-0.965519838948063,0.404786287793461,0.0740256379104871,-0.874841439106011,-0.715109849896159,-0.597738453182839,-0.394614011252481
4,2,98,0.00595238095238095,0.000703729767769179,476,0,119.119,0.196638655462185,2,0,35,"1",-0.861930692964181,-0.845710807837719,0.0386199298908044,0.0740256379104871,-0.874841439106011,-0.715109849896159,-0.597738453182839,-0.467847282833012
9,2,56,0.0142857142857143,0.00181451612903226,476,0,109.813666666667,0.221848739495798,2,0,35,"1",-0.861930692964181,-1.20513790116875,1.83283508361382,-0.248675117476562,-0.713526993042752,-0.715109849896159,-0.597738453182839,-0.141281513953166
10,2,98,0.00595238095238095,2.04765594394226e-18,476,0,128.424333333333,0.164705882352941,2,0,35,"1",-0.861930692964181,-0.845710807837719,0.0386199298908044,0.396726393297536,-1.07917307078614,-0.715109849896159,-0.597738453182839,-0.444173458091628
11,3,154,0.0104895104895105,-0.00397515527950311,154,1,165.757666666667,0.440336134453782,2,0.228571428571429,35,"1",0.906513315014053,-0.366474683396345,1.01549031828146,1.69141347609412,0.684531539505497,1.52687830493292,1.19186300193081,1.16496539076561
12,2,112,0.00476190476190476,0.0014826443397872,476,0,105.161,0.231932773109244,2,0,35,"1",-0.861930692964181,-0.725901776727376,-0.217696520641054,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.570752754657786
13,3,98,0.0170068027210884,-0.00244350613808742,98,1,205.396333333333,0.504201680672269,3,0.428571428571429,35,"1",0.906513315014053,-0.845710807837719,2.41870125625807,3.06604748625339,1.09319480286575,1.91678928838146,2.75776427515525,1.88024922975455
14,2,154,0.00274725274725274,0.00177018633540373,476,0,95.8556666666667,0.247058823529412,2,0,35,NA,-0.861930692964181,-0.366474683396345,-0.651462821541125,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.702688432387618
15,2,140,0.00324675324675324,0.00148351648351648,476,0,100.508333333333,0.240336134453782,2,0,35,"1",-0.861930692964181,-0.486283714506689,-0.543917457681603,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.657512721200383
17,3,210,0.00619747899159664,-0.000161117078410312,210,1,137.799666666667,0.420168067226891,2,0.142857142857143,35,"1",0.906513315014053,0.112761441045029,0.0913909638238356,0.721854686964829,0.555479982654889,1.13696732148439,0.52076245626319,0.682441253988398
18,2,70,0.0102040816326531,0.00201811536627999,476,0,105.161,0.231932773109244,2,0,35,"1",-0.861930692964181,-1.08532887005841,0.954035824647446,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.336406285600086
22,3,98,0.0170068027210884,-0.00052779732582688,98,1,142.396333333333,0.163025210084034,2,0.0285714285714286,35,"2",0.906513315014053,-0.845710807837719,2.41870125625807,0.881263034034158,-1.08992736719036,1.91678928838146,-0.374038271293633,1.00666790529948
23,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
24,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
29,3,210,0.00315126050420168,-0.00193340494092374,210,1,100.536333333333,0.357983193277311,2,0.0571428571428571,35,"2",0.906513315014053,0.112761441045029,-0.564477600772394,-0.570404857551513,0.157571015698849,1.13696732148439,-0.150338089404427,0.213233838774676
32,2,84,0.00765306122448979,0.000211118930330755,476,0,128.424333333333,0.164705882352941,2,0,35,"2",-0.861930692964181,-0.965519838948063,0.404786287793461,0.396726393297536,-1.07917307078614,-0.715109849896159,-0.597738453182839,-0.370940186511097
34,2,168,0.00235478806907378,0.00134105025409373,476,0,95.8556666666667,0.247058823529412,2,0,35,"2",-0.861930692964181,-0.246665652286001,-0.735962750287891,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.719588418136972
41,3,98,0.016156462585034,-0.000645085620455077,98,1,137.757666666667,0.243697478991597,2,0.0571428571428571,35,NA,0.906513315014053,-0.845710807837719,2.23561807730674,0.720398163996682,-0.573721139787927,1.91678928838146,-0.150338089404427,1.0411195409822
43,3,210,0.00504201680672269,-0.00171858216970999,210,1,144.841666666667,0.66890756302521,3,0.285714285714286,35,"3",0.906513315014053,0.112761441045029,-0.157386767574734,0.966065037957334,2.14711585047905,1.13696732148439,1.63926336570922,0.999854951472017
44,3,210,0.00252100840336134,2.38266605430445e-18,210,1,210.091,0.633613445378151,3,0.514285714285714,35,NA,0.906513315014053,0.112761441045029,-0.700174545171613,3.22885438691506,1.92127562599049,1.13696732148439,3.42886482082286,1.29868722084648
47,2,70,0.0102040816326531,0.00181153662799936,476,0,109.813666666667,0.221848739495798,2,0,35,NA,-0.861930692964181,-1.08532887005841,0.954035824647446,-0.248675117476562,-0.713526993042752,-0.715109849896159,-0.597738453182839,-0.317041365746442
51,3,280,0.00510204081632653,-0.00204081632653061,280,1,105.203,0.408403361344538,2,0.0857142857142857,35,"3",0.906513315014053,0.711806596596747,-0.144463249060523,-0.40856897220194,0.480199907825368,0.649578592173716,0.0733620924847785,0.296651918750135
52,2,126,0.00389610389610389,0.00129426129426129,476,0,105.161,0.231932773109244,2,0,35,NA,-0.861930692964181,-0.606092745617032,-0.404108484664225,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.60803514746242
53,3,140,0.011038961038961,0.00247252747252747,140,1,144.785666666667,0.433613445378151,3,0.171428571428571,35,"3",0.906513315014053,-0.486283714506689,1.13379021852693,0.964123007333139,0.641514353888627,1.62435605079505,0.744462638152396,1.05405938911156
54,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,NA,-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
55,4,84,0.0229591836734694,-0.00292047853624208,84,1,196.063,0.59327731092437,3,0.371428571428571,35,"3",2.67495732299229,-0.965519838948063,3.70028350891737,2.74237571555425,1.66317251228927,2.01426703424359,2.31036391137684,2.55901121879935
62,2,126,0.00389610389610389,0.00124542124542124,476,0,105.161,0.231932773109244,2,0,35,"2",-0.861930692964181,-0.606092745617032,-0.404108484664225,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.60803514746242
69,3,364,0.00449154020582592,-0.00238095238095238,364,1,112.203,0.504201680672269,3,0.142857142857143,35,NA,0.906513315014053,1.43066078325881,-0.275907582666604,-0.16581514417758,1.09319480286575,0.0647121170009125,0.52076245626319,0.324539501607307
70,2,112,0.00476190476190476,0.00113378684807256,476,0,109.813666666667,0.221848739495798,2,0,35,"2",-0.861930692964181,-0.725901776727376,-0.217696520641054,-0.248675117476562,-0.713526993042752,-0.715109849896159,-0.597738453182839,-0.551387834804142
75,2,126,0.00389610389610389,0.00195360195360195,476,0,100.508333333333,0.240336134453782,2,0,35,NA,-0.861930692964181,-0.606092745617032,-0.404108484664225,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.629550926596907
76,3,210,0.00409663865546219,0.000805585392051557,210,1,116.855666666667,0.490756302521008,3,0.142857142857143,35,"2",0.906513315014053,0.112761441045029,-0.360932184173564,-0.00446476648405595,1.00716043163202,1.13696732148439,0.52076245626319,0.537048823494567
80,3,462,0.00319764269344101,5.37307164816435e-17,462,1,102.855666666667,0.349579831932773,3,0.0571428571428571,35,NA,0.906513315014053,2.26932400103121,-0.554491245556866,-0.489972422532775,0.103799533677763,-0.617632104034025,-0.150338089404427,-0.13035658468637
81,3,462,0.00339764683797303,5.37307164816435e-17,462,1,102.855666666667,0.346702317290553,3,0.0588235294117647,34,"1",0.906513315014053,2.26932400103121,-0.511429189525655,-0.489972422532775,0.0853868746826632,-0.617632104034025,-0.13717925517565,-0.125426705279148
82,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
83,2,154,0.00274725274725274,0.00059006211180124,476,0,105.161,0.231932773109244,2,0,35,"1",-0.861930692964181,-0.366474683396345,-0.651462821541125,-0.410025495170086,-0.649001214617448,-0.715109849896159,-0.597738453182839,-0.6575060148378
