"estacao_ano","indice_amb","indice_amb_PC2","var_exp_PC1","var_exp_PC2"
"inverno_2018",-3.6836234852061,-0.0356306587714096,81.31,9.931
"inverno_2019",-2.60227655491028,0.883259409939826,81.31,9.931
"outono_2019",-0.0388762506652415,0.844095594307261,81.31,9.931
"primavera_2018",-0.565223457280208,-1.96794416350825,81.31,9.931
"verao_2018",3.04326905127752,-0.0313383197299674,81.31,9.931
"verao_2019",3.84673069678431,0.307558137762543,81.31,9.931
