"trait","individuo","blup","blup_z","blup_dir","blup_sd","var_pred","precisao","peso_combinado"
"comp_mm",10,1.06740878333757,0.835735353261521,0.835735353261521,4.70749218145569,22.1604826384664,0.0451253709729312,0.00201439656023165
"comp_mm",100,1.64447247363706,1.2672777831144,1.2672777831144,4.69434028253899,22.0368306882682,0.0453785761730415,0.00202569964036457
"comp_mm",101,-0.322829499786273,-0.20391905033194,-0.20391905033194,4.82753414901989,23.3050859599532,0.0429090886735356,0.00191546171838663
"comp_mm",103,-0.327937491924285,-0.207738932566712,-0.207738932566712,4.71091029979762,22.1926758527393,0.0450599110551406,0.00201147442950148
"comp_mm",11,1.62908594583551,1.25577135894303,1.25577135894303,4.88576278282877,23.8706779700747,0.0418924004275723,0.00187007675508683
"comp_mm",110,-0.404916319646114,-0.265305594480692,-0.265305594480692,4.59409728964479,21.1057299067216,0.047380498301626,0.00211506544418458
"comp_mm",115,-0.403384337893692,-0.264159940822276,-0.264159940822276,4.76879171079694,22.7413743809656,0.0439727161273504,0.00196294204792492
"comp_mm",118,-0.350712263096572,-0.224770466964468,-0.224770466964468,4.79037738833295,22.9477155226516,0.0435773225013576,0.0019452916764606
"comp_mm",12,1.82768890636745,1.40429154069186,1.40429154069186,4.77095573753874,22.7620186495538,0.0439328345783427,0.00196116173557722
"comp_mm",122,1.7200782521566,1.32381764504248,1.32381764504248,4.74498049812041,22.514839927543,0.0444151503283251,0.00198269231065643
"comp_mm",124,1.68433154773902,1.29708537970867,1.29708537970867,4.80801800716549,23.1170371572276,0.0432581387138251,0.00193104331218515
"comp_mm",128,1.58174339152059,1.22036743166787,1.22036743166787,4.75630881863026,22.62247357818,0.0442038310507534,0.00197325901810563
"comp_mm",13,2.74034675671855,2.08679954281623,2.08679954281623,4.5593902579689,20.7880395244617,0.04810458431269,0.00214738864371848
"comp_mm",130,1.63742939226011,1.26201079352182,1.26201079352182,4.64821325852857,21.6058864967608,0.0462836829282577,0.00206610360591742
"comp_mm",131,1.55742608925964,1.20218235455842,1.20218235455842,4.61571593401006,21.3048335834744,0.0469377052902997,0.00209529916415898
"comp_mm",132,1.65485803708137,1.27504436305954,1.27504436305954,4.75674784481736,22.6266500591746,0.0441956718022659,0.00197289478925315
"comp_mm",133,1.80813543270086,1.38966897184896,1.38966897184896,4.77105996702701,22.7630132089678,0.0439309150691016,0.00196107604868469
"comp_mm",134,1.78221351129634,1.3702839210523,1.3702839210523,4.82503885799281,23.2809999811406,0.0429534814144615,0.00191744341034156
"comp_mm",135,1.71202893280938,1.31779816593098,1.31779816593098,4.74438384933841,22.5091781098632,0.044426322237053,0.00198319102466205
"comp_mm",136,1.67857322536266,1.29277916451623,1.29277916451623,4.80094998395006,23.0491207483901,0.0433856029007027,0.00193673331348737
"comp_mm",138,1.58190875741897,1.22049109635653,1.22049109635653,4.84949076269259,23.5175606574408,0.0425214168495663,0.00189815604816464
"comp_mm",140,1.62072114819073,1.24951595739631,1.24951595739631,4.77083254131236,22.760843137245,0.0439351035447206,0.00196126302223633
"comp_mm",148,-0.189221346877553,-0.104003585325884,-0.104003585325884,4.95470990572502,24.5491502498896,0.0407346075045712,0.00181839287900406
"comp_mm",149,-0.328173032740276,-0.207915075785859,-0.207915075785859,4.67743491065046,21.8783973433717,0.0457071870624455,0.00204036883046757
"comp_mm",15,1.78054700785253,1.36903766876232,1.36903766876232,4.81997010771551,23.2321118392711,0.0430438699210126,0.001921478353274
"comp_mm",150,-0.375328656021037,-0.243179211433079,-0.243179211433079,4.75033635157402,22.5656954530856,0.0443150534437999,0.00197822398573123
"comp_mm",152,-0.846885632256448,-0.595821123858886,-0.595821123858886,4.32161858272675,18.6763871745692,0.0535435462251316,0.00239018390348988
"comp_mm",154,-0.164161919954445,-0.0852635291294767,-0.0852635291294767,4.84806031180474,23.5036887868963,0.0425465129778913,0.00189927633933307
"comp_mm",157,-0.214536392921312,-0.122934799791815,-0.122934799791815,4.58219336265641,20.9964960127725,0.0476269944943045,0.00212606903422575
"comp_mm",16,1.64324889612236,1.26636276173516,1.26636276173516,4.82741865600041,23.3039708803008,0.0429111418451572,0.00191555337196782
"comp_mm",161,-1.46687405255143,-1.05946372323278,-1.05946372323278,4.79972214925019,23.0373327100029,0.0434078030034179,0.00193772432607258
"comp_mm",162,-1.57229028998744,-1.13829658001064,-1.13829658001064,4.85187541449034,23.5406950377358,0.0424796293566098,0.00189629065447906
"comp_mm",166,-1.59288009142335,-1.15369414026474,-1.15369414026474,5.02537997345962,25.254443877649,0.0395969915174031,0.00176760970133687
"comp_mm",167,-1.53798687377655,-1.11264364111888,-1.11264364111888,4.86845079005408,23.7018130951782,0.0421908651453941,0.00188340022009039
"comp_mm",17,1.80516992968806,1.38745129571131,1.38745129571131,4.87963552874996,23.8108428934389,0.0419976732648785,0.00187477613454417
"comp_mm",170,-1.34122137282303,-0.965497556864939,-0.965497556864939,4.80645265804997,23.1019871540756,0.0432863196282914,0.00193230130820693
