"individuo","cluster","entropia","umap1","umap2","familia","cruzamento","IR_comercial","IR_res_sc","IR_final","P_severo_media","var_pred_medio","P_pareto"
"10",1,0,-8.24722236081174,-4.25655525107133,1,"293 x 355",0.237496160631301,0.928304329650846,0.718297020908914,0.0480437877668558,59.4210939630199,0.112
"100",1,0,-9.43239634915402,-2.80853765387284,1,"293 x 355",0.367777736002106,0.928304329650846,0.811247294185487,0.0480437877668558,60.2581643925376,0.136
"101",2,0,6.54134780482242,19.0821192942168,3,"516 x 355",-0.0237105660240758,-2.07171133718603,-0.822798369332022,0.116507043783214,57.5105178634346,0.038
"103",2,0,7.32539135531375,19.816669770291,3,"516 x 355",-0.105839884073712,-1.78706861423231,-1.1703748366054,0.116507043783214,63.7550366717979,0.026
"11",1,0,-8.56457751675656,-3.05851524252641,1,"293 x 355",0.354216333331171,-0.354638034566198,0.348353381098065,0.0480437877668558,60.0337439888156,0.094
"110",2,0,6.78421122149417,19.8247225962187,3,"516 x 355",0.219849937089495,-1.89380963533996,-0.45390303161511,0.116507043783214,60.2952886862999,0.084
"115",2,0,6.55436498240421,19.4309085093047,3,"516 x 355",-0.333345880021731,-0.646447611492127,-0.866541197413828,0.116507043783214,60.1712250320787,0.048
"118",2,0,7.21921545580814,19.2764666758086,3,"516 x 355",0.0830951342812275,-1.85028109510404,-0.604240174452057,0.119255243133398,58.8661598709536,0.066
"12",1,0,-8.68101352139523,-3.9635993756746,1,"293 x 355",0.283692730228117,0.928304329650846,0.742059747848983,0.0480437877668558,60.2520376712809,0.108
"122",1,0,-8.88462203427365,-2.50161950964677,1,"293 x 355",0.38428133487904,-0.425798715304627,0.45189309483287,0.0480437877668558,58.4562190258298,0.156
"124",1,0,-8.91056865140012,-2.64895551581132,1,"293 x 355",0.101358489617748,0.928304329650846,0.548800670841047,0.0480437877668558,57.7557873053105,0.09
"128",1,0,-9.31154960080197,-3.27062003988969,1,"293 x 355",0.411711824240233,0.928304329650846,1.00153278731186,0.0480437877668558,58.2162211390818,0.214
"13",1,0,-8.30105155392697,-3.22574203390824,1,"293 x 355",0.26815450950206,-0.496959396043055,0.0931501719672871,0.0480437877668558,59.5487155577825,0.058
"130",1,0,-9.124667581759,-4.54909055609452,1,"293 x 355",0.242274331874719,0.928304329650846,0.807431574778863,0.0480437877668558,56.5559218358801,0.156
"131",1,0,-9.01039355679562,-5.21366994757401,1,"293 x 355",0.414682688197661,0.928304329650846,1.23288931603143,0.0480437877668558,54.1068456578285,0.238
"132",1,0,-9.10017627163937,-5.17151039023148,1,"293 x 355",0.131374250470875,-0.212316673089342,0.0321275906490392,0.0480437877668558,58.6593611755655,0.04
"133",1,0,-9.31493609829953,-4.26027219671952,1,"293 x 355",0.367395315955857,-0.354638034566198,0.355470241705888,0.0480437877668558,60.4435952620569,0.118
"134",1,0,-8.39865249081662,-3.71082322973954,1,"293 x 355",0.0633748464142402,0.928304329650846,0.36812851488175,0.0480437877668558,60.393712957549,0.09
"135",1,0,-8.47344630642941,-3.96774022955644,1,"293 x 355",0.164345650929183,0.179067070972014,0.320248877829518,0.0480437877668558,58.5996462566905,0.082
"136",1,0,-7.92134040280392,-4.18975084204423,1,"293 x 355",0.338652243907167,-0.496959396043055,0.295465986643566,0.0480437877668558,59.2447052196477,0.088
"138",1,0,-8.33007758542111,-3.71457164664018,1,"293 x 355",0.414665010072438,0.401561705083836,0.920451885279547,0.049198836075063,56.0451125050885,0.168
"140",1,0,-9.42451232358029,-4.74133365530717,1,"293 x 355",0.419909017799104,-0.556229856981449,0.481483560144501,0.0490737295292447,57.9358394557121,0.138
"148",2,0,7.23755532816837,19.3524268351103,3,"516 x 355",0.203696704004731,-0.646447611492127,-0.0328528702133701,0.116507043783214,61.4595003866967,0.084
"149",2,0,7.02490312174747,19.1182578287627,3,"516 x 355",-0.100990395924746,-0.646447611492127,-0.178932331357782,0.116507043783214,53.7971257832208,0.056
