"individuo","P_severo_media","P_severo_pico","P_severo_final","P_severo_var","n_aval","familia","morreu_fusarium","n_aval_sc","P_severo_media_sc","P_severo_pico_sc","P_severo_var_sc","POM_idx"
2,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
3,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
4,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
9,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
10,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",1,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
11,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
12,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
13,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
15,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
17,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
18,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
22,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
23,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
24,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
29,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
32,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
34,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
43,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
51,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
53,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
55,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
62,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
70,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
76,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
81,0.049441638486329,0.298004008305729,0.215958500487996,0.00621041894769816,34,"1",0,-3.11477317890991,-0.581871343557552,-0.647116558595915,-0.589788737161956,-1.81877663931542
82,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
83,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
84,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
86,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
88,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
89,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
90,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
94,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
95,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
96,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
97,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
98,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
99,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
100,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
101,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
103,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
110,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
115,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
118,0.119255243133398,0.670567763485835,0.527879303177808,0.0372240892826029,34,"3",0,-3.11477317890991,1.94288209418799,1.84159588242106,1.92246183805378,5.70693981466283
122,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
124,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
128,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
130,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
131,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
132,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
133,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
134,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
135,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
136,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
138,0.049198836075063,0.298004008305729,0.215958500487996,0.00645242407560002,33,"1",0,-6.46315434623805,-0.590652099480926,-0.647116558595915,-0.570185203777766,-1.80795386185461
140,0.0490737295292447,0.298004008305729,0.215958500487996,0.00624262851903218,34,"1",0,-3.11477317890991,-0.595176478120818,-0.647116558595915,-0.587179613080945,-1.82947264979768
148,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
149,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
150,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
154,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
157,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
161,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
162,0.0590074146460302,0.357645673933177,0.260583269832889,0.00906095527931302,34,"2",0,-3.11477317890991,-0.235932663467873,-0.248712384313716,-0.358882125289158,-0.843527173070746
167,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
172,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
175,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
177,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
178,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
181,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
185,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
189,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
192,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
194,0.116507043783214,0.670567763485835,0.527879303177808,0.0363936041156246,35,"3",0,0.233607988418237,1.84349565236102,1.84159588242106,1.85518870282278,5.54028023760486
201,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
