"","comp_mm","diam_mm","massa_fruto_g","sst_brix"
"comp_mm",37.5769,0.6709,0.7199,-0.0583
"diam_mm",0.6709,33.4228,0.7365,-0.044
"massa_fruto_g",0.7199,0.7365,335.915,-0.0605
"sst_brix",-0.0583,-0.044,-0.0605,5.8507
