"","comp_mm","diam_mm","massa_fruto_g","sst_brix"
"comp_mm",9.7011,-0.1624,-0.3066,-0.4066
"diam_mm",-0.1624,8.9961,-0.1828,-0.3859
"massa_fruto_g",-0.3066,-0.1828,17.445,-0.4275
"sst_brix",-0.4066,-0.3859,-0.4275,4.8557
