"","comp_mm","diam_mm","massa_fruto_g","sst_brix"
"comp_mm",34.4123,0.4318,0.446,-0.028
"diam_mm",0.4318,29.9476,0.4891,-0.0173
"massa_fruto_g",0.446,0.4891,240.6,-0.0385
"sst_brix",-0.028,-0.0173,-0.0385,8.0164
